policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma,maneuver_deg,assoc_error_prob,outlier_prob
SHORTEST_PULSE,501007,12.731415502628154,1.1361572383133403,47.4194100847022,56,3,0,0,124,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501007,51.35178990949185,1.0239166463064486,44.03434271248721,57,2,0,0,124,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501008,315.7254788744938,1.2330943911213537,445.27907653515393,0,0,0,0,58,1,12,10,100,30,0,0.0,0.0
RANDOM,501008,53.5259064827484,1.1063738140760988,29.275918326366554,43,0,0,0,58,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501008,50.20872795800104,1.201709648022643,31.31964687585213,43,0,0,0,58,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501008,59.78308077090052,1.1683417377429695,28.975926389018266,42,1,0,0,58,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501008,56.837878730863935,1.1737317494626063,27.15230766119024,42,1,0,0,58,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501009,454.44916918407324,2.063706546118753,445.27907653515393,0,0,0,0,82,1,12,10,100,30,0,0.0,0.0
RANDOM,501009,7.248025761127219,0.8037291477549589,37.724307185425204,52,1,0,0,82,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501009,24.175754594817572,0.3446580758211693,37.9551036232304,52,1,0,0,82,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501009,15.032775834533396,0.5844235275099939,50.61662267039637,50,3,0,0,82,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501009,5.825139169502853,0.2558745547378976,35.25095599723541,50,3,0,0,82,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501010,726.9609154228697,2.1273937833904624,445.27907653515393,0,0,0,0,77,1,12,10,100,30,0,0.0,0.0
RANDOM,501010,16.805677067365377,0.26525035266347863,22.975781553572197,53,1,0,0,77,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501010,18.159103244458116,0.3998387152711635,23.219285419447125,54,0,0,0,77,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501010,8.990023307195479,0.4844959340010249,20.90875988572676,52,2,0,0,77,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501010,12.036978473181591,0.279702150295003,20.92214215302035,53,1,0,0,77,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501011,216.09791857516555,1.5052627788897148,445.27907653515393,0,0,0,0,50,1,12,10,100,30,0,0.0,0.0
RANDOM,501011,32.2850311875759,0.6404110784374518,31.541425193375133,37,0,0,0,50,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501011,19.306359922520986,0.7546710050126106,34.08155275609045,36,1,0,0,50,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501011,20.910944356356303,0.3824880365090872,30.96785043185787,37,0,0,0,50,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501011,19.55959369230892,0.027124239656350264,31.227700380400528,37,0,0,0,50,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501012,501.7183983842868,1.0317766442060374,445.27907653515393,0,0,0,0,135,1,12,10,100,30,0,0.0,0.0
RANDOM,501012,74.31754222097078,2.026860365557649,32.47072614169367,57,0,0,0,135,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501012,50.44819800039272,1.748456274422059,50.56150906234867,54,3,0,0,135,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501012,81.40572624929257,1.9281841516865685,32.363450462616164,57,0,0,0,135,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501012,68.34684773828394,1.6682574111445596,29.326847286302826,56,1,0,0,135,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501013,424.19787447221796,0.5688403967654001,445.27907653515393,0,0,0,0,33,1,12,10,100,30,0,0.0,0.0
RANDOM,501013,17.22292191941241,0.851369422990041,42.528731016770834,32,0,0,0,33,1,12,10,100,30,0,0.0,0.0
