n_donors,clutter_db,rcs,donor_sigma,scenario_id,no_passive_median_m,random_median_m,highest_snr_median_m,shortest_pulse_median_m,metrology_eig_median_m,best_simple_median_m,metrology_eig_beats_no_passive,metrology_eig_beats_best_simple
4,5,10,30,1,378.1928763205345,132.9629816772623,198.15552526927536,128.20308361535808,132.9629816772623,128.20308361535808,1,0
4,5,10,100,2,424.0387588978008,168.52142980895445,183.88760798663847,168.52142980895445,168.52142980895445,168.52142980895445,1,0
4,5,100,30,3,401.1720570670287,38.807366198810755,38.19542331985724,36.223365900783364,30.04575386104331,36.223365900783364,1,1
4,5,100,100,4,428.6582529175231,52.84629517794339,57.88182877743058,58.74860973601442,38.239542363537865,52.84629517794339,1,1
4,5,1000,30,5,418.1111609739776,29.409287537233403,70.19886590805751,58.700051774535154,32.21895208289439,29.409287537233403,1,0
4,5,1000,100,6,400.9658737884331,24.449538667944626,36.22557351921988,47.126302573751204,33.82321522118932,24.449538667944626,1,0
4,15,10,30,7,370.8299820402659,370.8299820402659,370.8299820402659,370.8299820402659,370.8299820402659,370.8299820402659,0,0
4,15,10,100,8,343.01508870965336,321.1582466039696,321.1582466039696,321.1582466039696,321.1582466039696,321.1582466039696,1,0
4,15,100,30,9,286.23948140811063,95.84825843876303,91.79297989252996,95.84825843876303,91.79297989252996,91.79297989252996,1,0
4,15,100,100,10,482.91193547678233,123.03908040722546,129.43071077658385,123.03908040722546,123.03908040722546,123.03908040722546,1,0
4,15,1000,30,11,414.0499268989063,32.02622869592267,30.68095493428234,25.709472992421375,21.553118091242453,25.709472992421375,1,1
4,15,1000,100,12,331.01244437970956,70.68815870437393,87.33897504983611,58.53512663581096,60.26924249194205,58.53512663581096,1,0
4,25,10,30,13,370.0666544564979,379.3922016064114,379.3922016064114,379.3922016064114,379.3922016064114,379.3922016064114,0,0
4,25,10,100,14,338.5304404327196,338.5304404327196,338.5304404327196,338.5304404327196,338.5304404327196,338.5304404327196,0,0
4,25,100,30,15,295.85971050173697,267.9404806042438,294.19961680779363,294.19961680779363,267.9404806042438,267.9404806042438,1,0
4,25,100,100,16,318.454752586737,298.3865294087057,298.3865294087057,298.3865294087057,298.3865294087057,298.3865294087057,1,0
4,25,1000,30,17,405.96863012552706,64.83635694559754,88.06587373885253,60.291532150422164,60.291532150422164,60.291532150422164,1,0
4,25,1000,100,18,394.5958042989354,113.72540397536058,116.5193920642426,111.17820440206734,113.72540397536058,111.17820440206734,1,0
12,5,10,30,19,318.28008032679327,28.938709796876832,32.240462944489956,34.90975887989313,32.73199478039435,28.938709796876832,1,0
12,5,10,100,20,385.0304986917271,81.9568215477162,83.64983201320061,74.0189889221235,70.23546670291276,74.0189889221235,1,1
12,5,100,30,21,397.8693541668492,19.56191968239915,19.44053564433038,15.962003459037746,8.364786863744337,15.962003459037746,1,1
12,5,100,100,22,368.5331883564437,27.221906143653374,38.38460443767933,25.37275988541712,21.16616014307897,25.37275988541712,1,1
12,5,1000,30,23,342.51999001003355,12.335789471472896,23.52141844878071,16.040593722145083,9.627091882528546,12.335789471472896,1,1
12,5,1000,100,24,392.9501716395491,20.48808387234905,32.88338837555919,21.700657104255903,17.419842956556813,20.48808387234905,1,1
12,15,10,30,25,419.6014360590036,301.72548906182925,301.72548906182925,301.72548906182925,301.72548906182925,301.72548906182925,1,0
12,15,10,100,26,444.48653612441115,336.99410305040533,336.99410305040533,336.99410305040533,336.99410305040533,336.99410305040533,1,0
12,15,100,30,27,391.2188127582029,31.52608514077295,36.9142629784954,33.952640185185416,33.12607982594932,31.52608514077295,1,0
12,15,100,100,28,367.22765351636656,42.298314964535045,50.0734519427706,44.575493166440666,37.9671192586395,42.298314964535045,1,1
12,15,1000,30,29,336.3369303797783,12.991503969719773,18.447149968731765,14.013535793520237,13.406358362414167,12.991503969719773,1,0
12,15,1000,100,30,429.517058235838,28.414858927452624,36.454185021166765,22.061583548449633,23.122864984125457,22.061583548449633,1,0
12,25,10,30,31,376.04282844376485,359.573195957713,359.573195957713,359.573195957713,359.573195957713,359.573195957713,1,0
12,25,10,100,32,366.92208776262987,366.0552633443955,366.0552633443955,366.0552633443955,366.0552633443955,366.0552633443955,1,0
12,25,100,30,33,344.6151406368369,259.765894117322,259.765894117322,259.765894117322,259.765894117322,259.765894117322,1,0
