policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma
METROLOGY_CONDITIONED_EIG,329021,5.771114689117442,0.2501251792342726,20.28509913562373,58,0,0,0,182,29,12,15,1000,30
NO_PASSIVE,329022,303.31314479147767,0.8789454885659809,445.27907653515393,0,0,0,0,213,29,12,15,1000,30
RANDOM,329022,11.033559136087442,0.28416756752817585,19.31655189078421,59,1,0,0,213,29,12,15,1000,30
HIGHEST_SNR,329022,31.98087195139228,0.3859095313928718,36.85646055997051,59,1,0,0,213,29,12,15,1000,30
SHORTEST_PULSE,329022,9.641286682105745,0.3465075822248799,18.5779545781108,58,2,0,0,213,29,12,15,1000,30
METROLOGY_CONDITIONED_EIG,329022,8.724165313597197,0.30670351666742324,15.02667801256353,59,1,0,0,213,29,12,15,1000,30
NO_PASSIVE,329023,175.68976365105607,1.0538816636473325,445.27907653515393,0,0,0,0,129,29,12,15,1000,30
RANDOM,329023,11.072808048716503,0.45065459691371373,31.085181078249423,48,2,0,0,129,29,12,15,1000,30
HIGHEST_SNR,329023,39.5444533888178,0.6710259650532803,52.22199923037632,48,2,0,0,129,29,12,15,1000,30
SHORTEST_PULSE,329023,17.790366042289886,0.36374572341766426,18.76125830533712,49,1,0,0,129,29,12,15,1000,30
METROLOGY_CONDITIONED_EIG,329023,19.486875044090173,0.41680560819060886,19.22860625771044,49,1,0,0,129,29,12,15,1000,30
NO_PASSIVE,329024,408.19591740626555,1.6084654387128405,445.27907653515393,0,0,0,0,201,29,12,15,1000,30
RANDOM,329024,0.5567033451554828,0.11786409679653118,20.604819300134032,59,1,0,0,201,29,12,15,1000,30
HIGHEST_SNR,329024,38.56064959405511,0.4803843100219697,22.016247425281414,58,2,0,0,201,29,12,15,1000,30
SHORTEST_PULSE,329024,21.05480933632849,0.405585365146554,18.204149306340078,57,3,0,0,201,29,12,15,1000,30
METROLOGY_CONDITIONED_EIG,329024,10.666943062646082,0.32780144194541233,15.312844039061863,60,0,0,0,201,29,12,15,1000,30
NO_PASSIVE,329025,666.7546679408769,2.153932308491947,445.27907653515393,0,0,0,0,112,29,12,15,1000,30
RANDOM,329025,11.91569525396858,0.5016825957994504,24.236386657317166,58,0,0,0,112,29,12,15,1000,30
HIGHEST_SNR,329025,12.106704358118646,0.5594678570620449,21.046201252221728,57,1,0,0,112,29,12,15,1000,30
SHORTEST_PULSE,329025,3.9085076048146714,0.7521583585447846,19.997104940442465,57,1,0,0,112,29,12,15,1000,30
METROLOGY_CONDITIONED_EIG,329025,10.159494611833312,0.9775324091817007,21.17516365760832,57,1,0,0,112,29,12,15,1000,30
NO_PASSIVE,329026,355.75763910310104,1.9384307863832524,445.27907653515393,0,0,0,0,174,29,12,15,1000,30
RANDOM,329026,19.39332090707001,0.6097036381758407,16.82329845056438,59,1,0,0,174,29,12,15,1000,30
HIGHEST_SNR,329026,13.248678363775433,0.541674687512594,20.618555807990905,60,0,0,0,174,29,12,15,1000,30
SHORTEST_PULSE,329026,4.757504386215181,0.06689966857489589,14.006631341608694,59,1,0,0,174,29,12,15,1000,30
METROLOGY_CONDITIONED_EIG,329026,12.329709753646835,0.32374598624387907,13.526499407442456,60,0,0,0,174,29,12,15,1000,30
NO_PASSIVE,329027,481.95725925612777,2.4686627382167865,445.27907653515393,0,0,0,0,130,29,12,15,1000,30
RANDOM,329027,4.618756457560629,0.4355847564044577,27.988081542953147,60,0,0,0,130,29,12,15,1000,30
HIGHEST_SNR,329027,15.80446997824023,0.8121735903691005,39.230657189041835,59,1,0,0,130,29,12,15,1000,30
SHORTEST_PULSE,329027,6.7438636429168985,0.28107339386693186,29.610184518161443,60,0,0,0,130,29,12,15,1000,30
METROLOGY_CONDITIONED_EIG,329027,0.6849370296304009,0.1810929295297361,25.199654376110615,60,0,0,0,130,29,12,15,1000,30
NO_PASSIVE,329028,244.00088233582224,0.7433908874039024,445.27907653515393,0,0,0,0,158,29,12,15,1000,30
RANDOM,329028,15.971939967550357,0.34239638628629016,19.955386242561577,59,0,0,0,158,29,12,15,1000,30
HIGHEST_SNR,329028,22.89352756795096,0.14486021171496738,66.07993892463544,59,0,0,0,158,29,12,15,1000,30
SHORTEST_PULSE,329028,5.451200799617411,0.151729138705813,14.243244628585655,59,0,0,0,158,29,12,15,1000,30
METROLOGY_CONDITIONED_EIG,329028,6.117488090604644,0.3633838052955759,14.292174430058068,59,0,0,0,158,29,12,15,1000,30
NO_PASSIVE,329029,575.1902948517053,0.587882567749598,445.27907653515393,0,0,0,0,167,29,12,15,1000,30
RANDOM,329029,13.532991248000139,0.6177071919367305,18.304347509222296,60,0,0,0,167,29,12,15,1000,30
HIGHEST_SNR,329029,18.488040151221956,0.3514430804150713,21.999644545518606,60,0,0,0,167,29,12,15,1000,30
SHORTEST_PULSE,329029,36.79423782154138,0.9507483049407673,33.56439921596545,60,0,0,0,167,29,12,15,1000,30
METROLOGY_CONDITIONED_EIG,329029,16.92555608949606,0.64690351581006,15.62156389886114,60,0,0,0,167,29,12,15,1000,30
NO_PASSIVE,330000,356.409023121638,2.327297774836042,445.27907653515393,0,0,0,0,173,30,12,15,1000,100
RANDOM,330000,4.174533508066052,0.6095271870330062,36.44118946290511,60,0,0,0,173,30,12,15,1000,100
HIGHEST_SNR,330000,46.48524414410358,0.7599237222123613,47.26799950245787,58,2,0,0,173,30,12,15,1000,100
SHORTEST_PULSE,330000,74.117477962257,1.4577078071145193,37.69306841445749,59,1,0,0,173,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330000,56.24104775360066,0.7493569708762872,29.68466283444821,60,0,0,0,173,30,12,15,1000,100
NO_PASSIVE,330001,273.1759804510731,2.03352731112794,445.27907653515393,0,0,0,0,114,30,12,15,1000,100
RANDOM,330001,24.24683654332281,1.4121899986782978,29.3113735390964,59,0,0,0,114,30,12,15,1000,100
