policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements
SHORTEST_PULSE,260911,22.383330835183767,0.6935448654399755,30.426758299541813,60,0,0,0,153
METROLOGY_CONDITIONED_EIG,260911,3.0050576594381058,0.2173167100781269,24.150544618249924,60,0,0,0,153
NO_PASSIVE,260912,462.95848636095883,2.9283086078339715,445.27907653515393,0,0,0,0,83
RANDOM,260912,30.18030145321395,0.2000015890303527,22.771121266446162,49,1,0,0,83
HIGHEST_SNR,260912,11.393574276759896,0.1954013921255705,23.73655667939198,50,0,0,0,83
SHORTEST_PULSE,260912,24.75205408448553,0.27008376647496685,22.376341771908287,48,2,0,0,83
METROLOGY_CONDITIONED_EIG,260912,22.379729375984184,0.34923360213746507,21.987615696639697,48,2,0,0,83
NO_PASSIVE,260913,443.5410271289951,3.4140228947525313,445.27907653515393,0,0,0,0,168
RANDOM,260913,30.035827471811157,0.7767144019640908,25.645024532282534,58,2,0,0,168
HIGHEST_SNR,260913,5.430297630691259,0.44699330170059753,24.254121473892287,60,0,0,0,168
SHORTEST_PULSE,260913,19.45849686956206,0.44971186170018745,23.768312358078155,60,0,0,0,168
METROLOGY_CONDITIONED_EIG,260913,11.56953129260095,0.2896296731290861,20.500846297435423,58,2,0,0,168
NO_PASSIVE,260914,576.258940178612,0.9289293778380955,445.27907653515393,0,0,0,0,121
RANDOM,260914,2.2064727524404355,0.2298431942729448,19.657168319156927,54,0,0,0,121
HIGHEST_SNR,260914,56.85076420608271,1.4637490306478347,45.00445976393242,54,0,0,0,121
SHORTEST_PULSE,260914,12.233416901057776,0.5982837661904309,13.76694807212815,54,0,0,0,121
METROLOGY_CONDITIONED_EIG,260914,5.04808665102179,0.26571990681056507,14.038587338828673,54,0,0,0,121
NO_PASSIVE,260915,750.9723895751547,2.420901967505956,445.27907653515393,0,0,0,0,177
RANDOM,260915,11.868080181558488,0.4835842293,16.36803412607832,56,3,0,0,177
HIGHEST_SNR,260915,22.09004925558058,0.5570969378929163,19.352338542323224,57,2,0,0,177
SHORTEST_PULSE,260915,3.568800898204037,0.24644403437803047,14.36618110856293,57,2,0,0,177
METROLOGY_CONDITIONED_EIG,260915,6.139060477333817,0.31457556579192053,14.259423833755893,57,2,0,0,177
NO_PASSIVE,260916,110.39331797701229,2.065258916436782,445.27907653515393,0,0,0,0,88
RANDOM,260916,11.665231833933415,0.6469146993700757,34.63812504693741,45,0,0,0,88
HIGHEST_SNR,260916,21.37367470157925,0.867026312037014,53.37026834962009,45,0,0,0,88
SHORTEST_PULSE,260916,3.035182708773267,0.8309027037678847,33.910707775047165,45,0,0,0,88
METROLOGY_CONDITIONED_EIG,260916,20.401139941851106,0.46102878472479447,31.795452384081877,45,0,0,0,88
NO_PASSIVE,260917,177.0477524378156,0.8519040102196316,445.27907653515393,0,0,0,0,48
RANDOM,260917,11.871147996147517,0.5653810824034271,20.48461718399186,32,2,0,0,48
HIGHEST_SNR,260917,16.29395084615318,0.8387072972618798,20.742024813751204,32,2,0,0,48
SHORTEST_PULSE,260917,5.853898606520251,0.8445119091077287,20.507823304294423,33,1,0,0,48
METROLOGY_CONDITIONED_EIG,260917,13.969096256981425,0.6510595459615772,20.559760431582838,32,2,0,0,48
NO_PASSIVE,260918,478.151966314011,2.2251913552874893,445.27907653515393,0,0,0,0,133
RANDOM,260918,23.174256128446263,1.17979672497248,29.91659554290391,60,0,0,0,133
HIGHEST_SNR,260918,13.760760572116189,0.5325329918533696,26.55649543463349,59,1,0,0,133
SHORTEST_PULSE,260918,11.225361519708754,0.21684693491875545,31.411138028594518,60,0,0,0,133
METROLOGY_CONDITIONED_EIG,260918,12.90205611680886,0.7604118154343555,21.901444725332723,59,1,0,0,133
NO_PASSIVE,260919,418.2944806312009,4.631098000133369,445.27907653515393,0,0,0,0,42
RANDOM,260919,22.539111527105216,0.7697150249683569,36.56086165182153,31,1,0,0,42
HIGHEST_SNR,260919,29.515178433406124,0.4751331115953782,43.624112185411995,31,1,0,0,42
SHORTEST_PULSE,260919,10.645151904069362,0.8306843301579405,34.73501218047876,31,1,0,0,42
METROLOGY_CONDITIONED_EIG,260919,6.046438333951069,0.638297121664951,32.74839358510161,31,1,0,0,42
NO_PASSIVE,260920,480.985585262843,1.4992276937112046,445.27907653515393,0,0,0,0,82
RANDOM,260920,21.016491799935682,0.7994197066891691,21.302478855775327,54,0,0,0,82
HIGHEST_SNR,260920,15.781224917296766,0.6744158309516692,20.32594707955856,54,0,0,0,82
SHORTEST_PULSE,260920,15.781224917296766,0.6744158309516692,20.32594707955856,54,0,0,0,82
METROLOGY_CONDITIONED_EIG,260920,14.64055946197309,0.5731771285031917,20.423702821501237,54,0,0,0,82
NO_PASSIVE,260921,591.8011077271063,4.867373051608675,445.27907653515393,0,0,0,0,109
RANDOM,260921,2.0751219900557243,0.5456816481354474,22.599458858937183,55,0,0,0,109
HIGHEST_SNR,260921,17.342531381237393,0.33919319519314267,24.52217181117498,55,0,0,0,109
SHORTEST_PULSE,260921,14.115105199882818,0.18325275011835143,19.943346984301883,55,0,0,0,109
METROLOGY_CONDITIONED_EIG,260921,12.119907217951312,0.18722385597083277,19.677594568839545,54,1,0,0,109
NO_PASSIVE,260922,442.3758234820532,1.101569966160927,445.27907653515393,0,0,0,0,169
RANDOM,260922,15.185225472047474,0.5798887072747834,18.181599387227926,58,0,0,0,169
HIGHEST_SNR,260922,19.638344040438916,0.8091672602756972,18.036412270681137,58,0,0,0,169
SHORTEST_PULSE,260922,7.886172416282036,0.20195799437234926,19.24913503507479,58,0,0,0,169
METROLOGY_CONDITIONED_EIG,260922,15.556711352267682,0.44744808469058883,15.605690182640604,58,0,0,0,169
NO_PASSIVE,260923,279.3159820526012,2.7990238746872507,445.27907653515393,0,0,0,0,42
RANDOM,260923,22.93851660101775,0.8207449765837967,36.02538005538608,24,0,0,0,42
HIGHEST_SNR,260923,48.87528543090367,2.6575068858567197,52.36033782002636,23,1,0,0,42
SHORTEST_PULSE,260923,19.603321177708736,0.43887225373276817,25.797275286954587,24,0,0,0,42
METROLOGY_CONDITIONED_EIG,260923,13.64911161567918,0.48302575536149395,25.782918483143984,24,0,0,0,42
NO_PASSIVE,260924,343.7207470796644,0.8885710770101349,445.27907653515393,0,0,0,0,65
RANDOM,260924,32.64222092618375,0.9556578076044864,30.904172282533686,43,3,0,0,65
HIGHEST_SNR,260924,41.015575408425875,0.7752044718367567,31.452260303788925,45,1,0,0,65
SHORTEST_PULSE,260924,45.895220749241446,0.5028567330773381,32.320615749308644,45,1,0,0,65
METROLOGY_CONDITIONED_EIG,260924,17.205505441510425,0.2978241764939096,27.067549551285886,46,0,0,0,65
NO_PASSIVE,260925,340.2284370288082,1.232356408405259,445.27907653515393,0,0,0,0,164
RANDOM,260925,16.85266085646305,0.23934339288738457,30.5919487788503,52,5,0,0,164
HIGHEST_SNR,260925,17.345554142269798,0.16142217334336667,33.91381110985785,57,0,0,0,164
SHORTEST_PULSE,260925,39.60499170591045,0.27555364306309316,31.32968323528589,56,1,0,0,164
METROLOGY_CONDITIONED_EIG,260925,29.20756437991269,0.9278727916663795,15.57187181229813,56,1,0,0,164
NO_PASSIVE,260926,41.03535380505504,0.3370080821191155,445.27907653515393,0,0,0,0,89
RANDOM,260926,79.99885492024951,1.5234598436580318,43.32661597695344,37,4,0,0,89
HIGHEST_SNR,260926,74.60870301174685,0.958043043715514,45.53876716967383,38,3,0,0,89
SHORTEST_PULSE,260926,33.263058204272525,1.2708480556303223,25.82545178865612,40,1,0,0,89
METROLOGY_CONDITIONED_EIG,260926,25.88489122371913,1.1940404884737863,29.545881234937028,40,1,0,0,89
NO_PASSIVE,260927,276.73364168300037,2.5622879652513046,445.27907653515393,0,0,0,0,73
RANDOM,260927,23.093829779301,0.6417181417303033,26.26636313972753,50,0,0,0,73
HIGHEST_SNR,260927,43.94320640362171,1.2222888507538139,39.367254360493106,50,0,0,0,73
SHORTEST_PULSE,260927,15.936968274298142,0.647765327894702,27.224423932040036,50,0,0,0,73
METROLOGY_CONDITIONED_EIG,260927,13.81018244835422,0.5451637614988322,24.696176527600052,50,0,0,0,73
NO_PASSIVE,260928,559.1652364410942,0.4051040673029711,445.27907653515393,0,0,0,0,82
RANDOM,260928,26.837682909590292,1.0948133081894418,28.529069582812827,54,1,0,0,82
HIGHEST_SNR,260928,32.251235849478114,1.2983486545109322,30.021352475049596,55,0,0,0,82
SHORTEST_PULSE,260928,13.736264994457025,0.6697286831402985,26.137690131143092,54,1,0,0,82
METROLOGY_CONDITIONED_EIG,260928,20.12789397140947,0.46146326585197095,25.8590975938917,54,1,0,0,82
NO_PASSIVE,260929,277.292481052909,1.6490553773686842,445.27907653515393,0,0,0,0,95
RANDOM,260929,6.8062967238778045,0.3950420580165184,25.211783047069716,49,1,0,0,95
HIGHEST_SNR,260929,17.48064343995416,0.5583335491268683,28.46006830044663,49,1,0,0,95
SHORTEST_PULSE,260929,11.249224261120007,0.37491194265152267,24.647664599054817,50,0,0,0,95
METROLOGY_CONDITIONED_EIG,260929,15.342278892419591,0.607834779515933,23.313217362997957,50,0,0,0,95
NO_PASSIVE,260930,551.1001152766407,2.3233460260683185,445.27907653515393,0,0,0,0,189
RANDOM,260930,13.609422255965972,0.3186582517110155,20.1085547557794,59,1,0,0,189
HIGHEST_SNR,260930,21.9160616135278,0.5904682724906102,40.21881904482829,60,0,0,0,189
SHORTEST_PULSE,260930,8.822234285833852,0.4267467658226338,16.29462233354762,59,1,0,0,189
METROLOGY_CONDITIONED_EIG,260930,13.60093075540383,0.545145367093555,16.242859178115957,59,1,0,0,189
NO_PASSIVE,260931,220.1002475415144,2.105975392633539,445.27907653515393,0,0,0,0,51
RANDOM,260931,89.4695713074515,2.7425994837288417,48.84824603141049,42,0,0,0,51
HIGHEST_SNR,260931,69.39019663133416,2.098524335661903,52.4458901613658,42,0,0,0,51
SHORTEST_PULSE,260931,86.87352626922086,2.6488488588157195,50.6550654383505,42,0,0,0,51
METROLOGY_CONDITIONED_EIG,260931,61.98898022487949,2.202554462278537,43.93024718295625,42,0,0,0,51
NO_PASSIVE,260932,467.47878605739425,1.7404152028735984,445.27907653515393,0,0,0,0,35
RANDOM,260932,36.521657243992905,0.9784518911357237,44.304322794056255,28,0,0,0,35
HIGHEST_SNR,260932,49.391611568221215,0.8291261306678005,48.49742739950426,28,0,0,0,35
SHORTEST_PULSE,260932,34.56319554452694,0.6239606833339576,42.19280274137064,28,0,0,0,35
METROLOGY_CONDITIONED_EIG,260932,32.36216601480326,0.7426564911778724,41.839994214091426,28,0,0,0,35
NO_PASSIVE,260933,438.44319564157666,1.6161257917025078,445.27907653515393,0,0,0,0,128
RANDOM,260933,29.147727531866735,0.8505710136587105,19.6189037558153,51,1,0,0,128
HIGHEST_SNR,260933,20.304729203572013,0.04348284105240808,22.809520552886806,50,2,0,0,128
SHORTEST_PULSE,260933,18.079096284191913,0.8469281243430619,16.19618640738088,52,0,0,0,128
METROLOGY_CONDITIONED_EIG,260933,10.130045357147193,0.47088531752852547,16.07392818799001,52,0,0,0,128
NO_PASSIVE,260934,127.91392643996055,3.2536476263883674,445.27907653515393,0,0,0,0,96
RANDOM,260934,35.46051090835542,1.2251201694470712,26.743404554836392,54,1,0,0,96
HIGHEST_SNR,260934,30.78178634361554,1.0083693973320187,29.51554822948268,53,2,0,0,96
SHORTEST_PULSE,260934,30.333172299522186,0.6784995829653804,24.13368773202899,53,2,0,0,96
METROLOGY_CONDITIONED_EIG,260934,33.21019327689155,1.0780330151801063,25.170219433902204,52,3,0,0,96
NO_PASSIVE,260935,234.80313154128265,1.96469757168655,445.27907653515393,0,0,0,0,30
RANDOM,260935,100.9555441497535,1.6137073813317373,134.80482674051322,25,0,0,0,30
HIGHEST_SNR,260935,100.9555441497535,1.6137073813317373,134.80482674051322,25,0,0,0,30
SHORTEST_PULSE,260935,25.324892316676173,1.1913322569746643,41.88318648142548,25,0,0,0,30
