policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements
SHORTEST_PULSE,260906,6.383338998488048,0.5517317865732311,15.874793898524834,57,0,0,0,101
METROLOGY_CONDITIONED_EIG,260906,8.892902365222323,0.5509465820553289,14.65814376858722,57,0,0,0,101
NO_PASSIVE,260907,559.28488838571,2.947421881338931,445.27923823147125,0,0,0,0,152
RANDOM,260907,29.35181313262414,0.9340594888394217,22.620866868159574,59,0,0,0,152
HIGHEST_SNR,260907,6.354677079086569,0.5864730696135264,33.95466409539739,57,2,0,0,152
SHORTEST_PULSE,260907,28.66836192365377,1.178252228294755,18.741772592559023,57,2,0,0,152
METROLOGY_CONDITIONED_EIG,260907,25.493611497953726,1.0941004689664937,17.40705481989234,58,1,0,0,152
NO_PASSIVE,260908,275.1783517195876,1.9863839058796506,445.27923823147125,0,0,0,0,44
RANDOM,260908,44.2799198348972,0.23195695167494376,71.48893673685934,38,1,0,0,44
HIGHEST_SNR,260908,57.67109656172748,1.032139442804311,74.02045843108398,38,1,0,0,44
SHORTEST_PULSE,260908,66.6367130034427,1.5759826616767125,72.8559290488965,38,1,0,0,44
METROLOGY_CONDITIONED_EIG,260908,53.25212303224785,1.1870461516652402,69.18381621762369,38,1,0,0,44
NO_PASSIVE,260909,160.79446768865057,2.5263408445088724,445.27923823147125,0,0,0,0,98
RANDOM,260909,19.304668628736714,0.6804159847832696,33.41763839699532,55,0,0,0,98
HIGHEST_SNR,260909,16.419570212777625,0.5643753647547892,59.02146930894689,55,0,0,0,98
SHORTEST_PULSE,260909,16.12413139949295,0.20550683302654038,32.3242657456208,55,0,0,0,98
METROLOGY_CONDITIONED_EIG,260909,15.241225914167273,0.42753531897528846,31.43772176989441,55,0,0,0,98
NO_PASSIVE,260910,284.9924391484348,0.7173999506267923,445.27923823147125,0,0,0,0,144
RANDOM,260910,15.305840077212732,0.3211940186203102,18.337131330397956,58,2,0,0,144
HIGHEST_SNR,260910,2.7548933056617346,0.16240738072653602,22.365476535870684,58,2,0,0,144
SHORTEST_PULSE,260910,7.322908474402422,0.3985021053254098,20.27676277932797,58,2,0,0,144
METROLOGY_CONDITIONED_EIG,260910,8.5373754430972,0.5189959089983895,17.647083257692458,58,2,0,0,144
NO_PASSIVE,260911,251.74863463121608,2.2463667458103727,445.27923823147125,0,0,0,0,153
RANDOM,260911,26.389367336450547,0.3075573923943224,30.619866544919937,60,0,0,0,153
HIGHEST_SNR,260911,17.159134374724626,0.2195817315578917,29.031497182667398,60,0,0,0,153
SHORTEST_PULSE,260911,20.956086738001833,0.6393874109982443,31.378705822426763,60,0,0,0,153
METROLOGY_CONDITIONED_EIG,260911,1.9208668742666357,0.21051271509234024,24.81202516191426,60,0,0,0,153
NO_PASSIVE,260912,462.95848636095883,2.9283086078339715,445.27923823147125,0,0,0,0,83
RANDOM,260912,29.414274893727757,0.16007537312791614,23.171843166371243,49,1,0,0,83
HIGHEST_SNR,260912,10.929022879413552,0.18496038242108936,24.073764441329292,50,0,0,0,83
SHORTEST_PULSE,260912,24.301972891879572,0.2357629507407808,22.714150402216134,48,2,0,0,83
METROLOGY_CONDITIONED_EIG,260912,2.6227033067750134,0.2646122856406184,21.559229022105736,50,0,0,0,83
NO_PASSIVE,260913,443.5410271289951,3.4140228947525313,445.27923823147125,0,0,0,0,168
